Student_ID,Gender,Branch,Graduation_Year,Class_10_Percentage,Class_12_Percentage,CGPA,Active_Backlogs,Internship,Projects,Certifications,Placement_Status,Company,Job_Role,Package_LPA,Placement_Type,Placement_Season,Location
ENG0065,Female,Information Technology,2023,99,92.53,9.02,0,Yes,6,1,Placed,Cognizant,Business Analyst,8.4,On-Campus,November,Kolkata
ENG0066,Male,Chemical Engineering,2025,88.56,81.87,7.42,1,Yes,0,4,Placed,BASF,Graduate Engineer Trainee,6.86,Off-Campus,February,Coimbatore
ENG0067,Male,Electronics & Communication Engineering,2023,79.33,70.72,5.63,1,Yes,3,1,Not Placed,,,0,,,
ENG0068,Male,Mechanical Engineering,2025,91.99,90.77,7.94,1,Yes,3,1,Placed,Siemens,Mechanical Engineer,6.49,On-Campus,December,Pune
ENG0069,Male,Computer Science & Engineering,2022,87.5,91.89,7.9,0,Yes,1,0,Not Placed,,,0,,,
ENG0070,Male,Electronics & Communication Engineering,2023,97.73,95.21,8.29,0,No,0,0,Placed,Amazon,Software Engineer,20.73,Pool Campus,December,Mumbai
ENG0071,Male,Civil Engineering,2025,69.62,87.88,8.17,0,Yes,4,1,Placed,Shapoorji Pallonji,Civil Engineer,12.03,On-Campus,February,Ahmedabad
ENG0072,Male,Electrical Engineering,2023,79.88,89.92,6.97,0,No,1,2,Not Placed,,,0,,,
ENG0073,Female,Electronics & Communication Engineering,2022,78.3,76.57,6.41,1,No,0,1,Not Placed,,,0,,,
ENG0074,Male,Architecture,2025,66.21,67.43,5.18,1,Yes,2,0,Not Placed,,,0,,,
ENG0075,Male,Civil Engineering,2023,90.48,91.15,7.69,0,Yes,1,2,Placed,DLF,Civil Engineer,11.49,Off-Campus,October,Noida
ENG0076,Male,Information Technology,2023,79.84,74.01,6.32,0,No,0,1,Placed,Tiger Analytics,Data Analyst,10.79,Off-Campus,October,Delhi NCR
ENG0077,Male,Electrical Engineering,2025,87.92,94.1,8.5,0,Yes,2,1,Placed,BHEL,Graduate Engineer Trainee,10.61,Pool Campus,January,Pune
ENG0078,Female,Electronics & Communication Engineering,2022,99,96.78,8.19,1,Yes,1,3,Not Placed,,,0,,,
ENG0079,Male,Electrical Engineering,2022,79.17,81.18,6.95,0,Yes,3,0,Not Placed,,,0,,,
ENG0080,Female,Information Technology,2021,78.63,83.78,7.1,0,No,0,1,Not Placed,,,0,,,
ENG0081,Female,Information Technology,2023,82.95,94.27,9,0,Yes,1,0,Placed,PhonePe,Business Analyst,17.67,On-Campus,August,Kolkata
ENG0082,Male,Architecture,2022,89.9,88.62,7.67,0,Yes,1,0,Placed,DLF,Graduate Engineer Trainee,12.41,On-Campus,December,Coimbatore
ENG0083,Female,Architecture,2024,77.47,77.31,6.46,1,No,1,2,Placed,DLF,Architect,11.83,Off-Campus,January,Chennai
ENG0084,Male,Civil Engineering,2022,76.95,88.28,7.73,1,No,1,1,Not Placed,,,0,,,
ENG0085,Male,Chemical Engineering,2024,90.46,94.62,7.49,1,No,1,0,Placed,Asian Paints,Graduate Engineer Trainee,10.19,Off-Campus,December,Coimbatore
ENG0086,Male,Mechanical Engineering,2022,85.03,81.52,7.14,0,No,2,1,Not Placed,,,0,,,
ENG0087,Female,Mechanical Engineering,2023,65.64,69.27,6.74,1,Yes,3,2,Placed,L&T,Graduate Engineer Trainee,12.49,Pool Campus,February,Kolkata
ENG0088,Male,Mechanical Engineering,2023,72.2,75.52,6.48,0,Yes,1,0,Placed,Ashok Leyland,Graduate Engineer Trainee,8.72,Off-Campus,September,Delhi NCR
ENG0089,Male,Electronics & Communication Engineering,2024,94.01,93.04,8.03,2,Yes,1,1,Placed,Microsoft,Software Engineer,27.25,On-Campus,October,Noida
ENG0090,Male,Electronics & Communication Engineering,2023,85.22,74.42,6.55,1,No,1,0,Not Placed,,,0,,,
ENG0091,Male,Information Technology,2023,75.9,66.13,5.92,1,No,0,1,Not Placed,,,0,,,
ENG0092,Female,Electrical Engineering,2025,80.64,74.27,6.11,2,No,3,1,Not Placed,,,0,,,
ENG0093,Male,Information Technology,2024,82.11,74.83,5.8,0,No,1,0,Not Placed,,,0,,,
ENG0094,Male,Information Technology,2022,87.89,81.41,7.27,0,No,1,1,Placed,Capgemini,Software Engineer,4.62,Off-Campus,November,Mumbai
ENG0095,Male,Electrical Engineering,2025,71.13,77.79,6.72,2,Yes,7,0,Not Placed,,,0,,,
ENG0096,Female,Electronics & Communication Engineering,2023,75.27,75.27,7.51,2,Yes,3,5,Not Placed,,,0,,,
ENG0097,Male,Computer Science & Engineering,2021,84.18,84.51,5.9,0,No,1,0,Not Placed,,,0,,,
ENG0098,Male,Civil Engineering,2023,81.2,72.33,7.27,0,Yes,3,4,Placed,L&T,Civil Engineer,9.74,On-Campus,December,Pune
ENG0099,Male,Civil Engineering,2021,86.57,81.7,8.25,0,Yes,3,0,Placed,Tata Projects,Graduate Engineer Trainee,6.35,On-Campus,February,Delhi NCR
ENG0100,Female,Computer Science & Engineering,2022,72.16,78.23,8.13,0,Yes,3,2,Placed,ZS Associates,Data Analyst,14.66,On-Campus,August,Coimbatore
ENG0101,Female,Computer Science & Engineering,2024,84.86,87.81,7.87,0,Yes,3,2,Placed,EXL,Data Analyst,9.69,On-Campus,September,Bengaluru
ENG0102,Female,Information Technology,2021,90.73,82.98,7.76,1,Yes,0,4,Placed,Capgemini,Software Engineer,8.13,On-Campus,January,Pune
ENG0103,Male,Civil Engineering,2025,85.89,85.55,6.71,2,No,0,2,Not Placed,,,0,,,
ENG0104,Female,Civil Engineering,2025,83.11,97.73,8.69,0,Yes,2,1,Placed,Tata Projects,Graduate Engineer Trainee,8.4,On-Campus,December,Noida
ENG0105,Female,Computer Science & Engineering,2024,81.23,80.8,7.09,2,No,2,1,Not Placed,,,0,,,
ENG0106,Female,Mechanical Engineering,2024,75.32,71.64,5.55,2,No,1,0,Not Placed,,,0,,,
ENG0107,Male,Computer Science & Engineering,2024,81.42,79.85,6.94,1,No,0,1,Not Placed,,,0,,,
ENG0108,Male,Electronics & Communication Engineering,2025,92.08,89.7,8.64,0,Yes,2,3,Placed,Fractal,Business Analyst,15.36,On-Campus,August,Chennai
ENG0109,Male,Chemical Engineering,2023,81.05,79.73,6.78,0,No,0,1,Not Placed,,,0,,,
ENG0110,Female,Computer Science & Engineering,2022,74.88,75.94,6.59,3,No,3,1,Not Placed,,,0,,,
ENG0111,Male,Computer Science & Engineering,2023,78.06,68.44,5.06,1,No,1,0,Not Placed,,,0,,,
ENG0112,Male,Electronics & Communication Engineering,2023,83.61,75.97,6.21,0,No,0,1,Not Placed,,,0,,,
ENG0113,Male,Electrical Engineering,2022,79.01,78.21,7.65,0,Yes,0,1,Not Placed,,,0,,,
ENG0114,Male,Architecture,2024,85.88,83.25,8.14,1,Yes,4,0,Placed,DLF,Graduate Engineer Trainee,7.11,Pool Campus,January,Ahmedabad
ENG0115,Male,Chemical Engineering,2021,86.18,80.67,6.58,2,No,3,1,Not Placed,,,0,,,
ENG0116,Female,Computer Science & Engineering,2025,89.11,85.59,7.88,0,Yes,2,2,Not Placed,,,0,,,
ENG0117,Female,Computer Science & Engineering,2022,93.39,90.47,8.35,1,Yes,3,2,Placed,Wipro,Software Engineer,4.94,On-Campus,December,Pune
ENG0118,Female,Civil Engineering,2021,89.97,93.7,8.12,0,Yes,2,2,Placed,Shapoorji Pallonji,Civil Engineer,6.16,Off-Campus,February,Noida
ENG0119,Male,Information Technology,2021,74.53,75.2,6.76,2,Yes,0,2,Not Placed,,,0,,,
ENG0120,Female,Architecture,2022,74.77,78.87,7.18,0,Yes,2,3,Not Placed,,,0,,,
ENG0121,Male,Mechanical Engineering,2022,81.39,77.25,7.35,0,Yes,2,1,Placed,Tata Motors,Mechanical Engineer,11.91,Off-Campus,November,Kolkata
ENG0122,Female,Computer Science & Engineering,2021,78.39,82.8,7.37,0,Yes,3,2,Placed,Wipro,Software Engineer,7.38,On-Campus,October,Bengaluru
ENG0123,Male,Civil Engineering,2022,72.89,77.3,7.21,1,No,2,0,Not Placed,,,0,,,
ENG0124,Male,Computer Science & Engineering,2022,78.47,84.91,7.23,0,Yes,1,2,Placed,Fractal,Data Engineer,14.38,Off-Campus,November,Bengaluru
ENG0125,Male,Electronics & Communication Engineering,2023,78.2,83.65,6.91,0,No,0,0,Placed,Siemens,Graduate Engineer Trainee,10.07,On-Campus,January,Ahmedabad
ENG0126,Male,Electrical Engineering,2023,76.63,81.59,7.25,0,No,6,3,Placed,Tata Power,Graduate Engineer Trainee,7.35,On-Campus,November,Delhi NCR
ENG0127,Male,Electronics & Communication Engineering,2023,79.47,78.92,7.51,0,No,1,3,Placed,Cognizant,Software Engineer,7.68,On-Campus,November,Chennai
ENG0128,Male,Mechanical Engineering,2022,91.43,90.29,7.28,1,No,0,1,Not Placed,,,0,,,
ENG0129,Male,Mechanical Engineering,2021,83.59,90.14,7.98,0,Yes,1,1,Placed,Siemens,Graduate Engineer Trainee,9.98,On-Campus,October,Noida
ENG0130,Male,Chemical Engineering,2021,99,89.69,7.51,2,Yes,1,1,Not Placed,,,0,,,
ENG0131,Male,Chemical Engineering,2022,83.36,78.12,7.13,0,No,1,1,Placed,EXL,Data Analyst,9.94,On-Campus,September,Kolkata
ENG0132,Female,Electronics & Communication Engineering,2024,79.68,81.03,7.7,0,No,1,1,Placed,Accenture,Data Analyst,6.62,Off-Campus,March,Hyderabad
ENG0133,Male,Computer Science & Engineering,2025,82.03,84.43,7.8,0,Yes,3,0,Not Placed,,,0,,,
ENG0134,Male,Mechanical Engineering,2025,84.05,77.27,6.26,1,No,0,0,Not Placed,,,0,,,
ENG0135,Male,Chemical Engineering,2023,85.48,83.59,8.1,0,Yes,3,1,Placed,BASF,Graduate Engineer Trainee,8.84,On-Campus,February,Kolkata
ENG0136,Male,Information Technology,2023,98.61,93.3,7.45,0,No,1,1,Not Placed,,,0,,,
ENG0137,Female,Electronics & Communication Engineering,2022,75.24,60.92,6.01,1,No,1,0,Not Placed,,,0,,,
ENG0138,Male,Electronics & Communication Engineering,2024,88.87,85.12,6.97,0,No,0,2,Placed,Accenture,Data Analyst,6.37,On-Campus,August,Bengaluru
ENG0139,Female,Computer Science & Engineering,2024,83.66,81.65,6.82,0,Yes,2,2,Placed,Microsoft,Software Engineer,20.29,Pool Campus,August,Mumbai
ENG0140,Male,Mechanical Engineering,2025,69.43,70.95,7.67,0,Yes,3,2,Placed,Bosch,Graduate Engineer Trainee,8.62,On-Campus,March,Chennai
ENG0141,Male,Information Technology,2025,88.17,96.04,8.33,1,Yes,1,1,Placed,TCS,Business Analyst,5.35,Off-Campus,December,Pune
ENG0142,Male,Civil Engineering,2023,92.14,80.6,7.82,0,No,2,1,Placed,Tata Projects,Civil Engineer,10.59,On-Campus,March,Mumbai
ENG0143,Female,Civil Engineering,2024,75.14,70.58,5.61,0,No,1,2,Not Placed,,,0,,,
ENG0144,Male,Civil Engineering,2025,81.93,63.16,6.87,1,No,5,2,Not Placed,,,0,,,
ENG0145,Male,Electronics & Communication Engineering,2022,68.2,67.78,6.02,0,No,5,2,Not Placed,,,0,,,
ENG0146,Male,Information Technology,2025,71.93,71.18,7.64,0,Yes,0,3,Placed,TCS,QA Engineer,5.03,On-Campus,October,Mumbai
ENG0147,Male,Mechanical Engineering,2021,90.38,84.22,6.68,1,No,2,1,Not Placed,,,0,,,
ENG0148,Male,Civil Engineering,2025,78.27,86.46,6.93,0,No,0,0,Placed,DLF,Civil Engineer,8.58,Off-Campus,January,Hyderabad
ENG0149,Male,Electronics & Communication Engineering,2024,73.13,80.87,6.19,1,No,2,2,Not Placed,,,0,,,
ENG0150,Male,Architecture,2021,83.84,83.42,7.61,0,No,2,0,Placed,Shapoorji Pallonji,Graduate Engineer Trainee,8.7,On-Campus,January,Noida
ENG0151,Female,Computer Science & Engineering,2024,77.82,75.77,6.39,1,No,0,0,Placed,Cognizant,QA Engineer,7.68,Pool Campus,March,Chennai
ENG0152,Female,Civil Engineering,2021,78.23,85.86,7.56,0,Yes,3,2,Placed,Shapoorji Pallonji,Civil Engineer,9.97,On-Campus,November,Kolkata
ENG0153,Male,Computer Science & Engineering,2024,87.91,85.8,7.72,0,Yes,0,2,Placed,Cognizant,Business Analyst,5.78,On-Campus,December,Ahmedabad
ENG0154,Male,Computer Science & Engineering,2024,72.71,68.8,6.2,0,No,1,1,Not Placed,,,0,,,
ENG0155,Male,Electronics & Communication Engineering,2024,74.76,64.05,5.94,0,No,4,0,Not Placed,,,0,,,
ENG0156,Female,Computer Science & Engineering,2025,83.23,79.34,7.13,0,No,2,0,Placed,Capgemini,QA Engineer,4.6,On-Campus,March,Mumbai
ENG0157,Male,Computer Science & Engineering,2021,89.76,92.6,8.78,0,Yes,2,2,Placed,Google,DevOps Engineer,31.93,On-Campus,August,Bengaluru
ENG0158,Female,Computer Science & Engineering,2022,91.91,98,8.71,0,Yes,4,1,Placed,PhonePe,Data Analyst,14.01,Off-Campus,September,Mumbai
ENG0159,Female,Electronics & Communication Engineering,2023,76.68,77.94,6.8,0,Yes,3,1,Placed,Wipro,Software Engineer,5.82,On-Campus,November,Delhi NCR
ENG0160,Female,Mechanical Engineering,2021,89.5,81.77,6.6,0,No,1,0,Placed,L&T,Mechanical Engineer,6.93,On-Campus,January,Chennai
ENG0161,Male,Computer Science & Engineering,2023,75.73,68.5,6.17,1,No,1,0,Placed,Capgemini,Data Analyst,4.63,Pool Campus,February,Mumbai
ENG0162,Female,Mechanical Engineering,2022,96.61,96.32,8.77,0,Yes,5,3,Placed,Ashok Leyland,Mechanical Engineer,11.51,Off-Campus,November,Delhi NCR
ENG0163,Male,Civil Engineering,2023,72.93,62.35,6.14,1,No,2,3,Not Placed,,,0,,,
ENG0164,Male,Computer Science & Engineering,2023,92.63,93.32,8.99,0,Yes,4,6,Placed,Fractal,Data Analyst,15.76,Off-Campus,October,Noida
ENG0165,Male,Computer Science & Engineering,2025,76.75,83.29,8.17,0,Yes,5,2,Placed,Capgemini,DevOps Engineer,7.28,On-Campus,February,Kolkata
ENG0166,Male,Civil Engineering,2022,98.11,96.63,8.32,1,Yes,2,1,Placed,L&T,Civil Engineer,12.25,On-Campus,February,Delhi NCR
ENG0167,Female,Civil Engineering,2025,86.73,83.51,6.97,0,No,0,0,Not Placed,,,0,,,
ENG0168,Female,Electronics & Communication Engineering,2023,73.87,79.36,6.63,0,No,2,0,Placed,Infosys,Data Analyst,5.86,On-Campus,October,Mumbai
ENG0169,Male,Civil Engineering,2022,77.82,79.56,7.63,0,Yes,3,3,Placed,L&T,Civil Engineer,11.76,On-Campus,February,Ahmedabad
ENG0170,Female,Computer Science & Engineering,2023,88.25,80.74,7.51,2,Yes,0,4,Not Placed,,,0,,,
ENG0171,Male,Electronics & Communication Engineering,2023,90.42,98,9.05,1,No,3,2,Placed,Google,QA Engineer,32.1,On-Campus,September,Kolkata
ENG0172,Male,Mechanical Engineering,2022,81.43,78.61,7.21,1,No,1,2,Not Placed,,,0,,,
ENG0173,Male,Information Technology,2023,82.36,87.2,7.41,0,No,0,1,Placed,Mu Sigma,Data Engineer,12.77,On-Campus,February,Hyderabad
ENG0174,Female,Mechanical Engineering,2022,88.07,69.12,6.7,0,No,0,0,Placed,Mahindra & Mahindra,Mechanical Engineer,8.04,Off-Campus,March,Bengaluru
ENG0175,Male,Electronics & Communication Engineering,2023,83.05,91.23,8.69,1,Yes,1,3,Not Placed,,,0,,,
ENG0176,Male,Mechanical Engineering,2024,71.65,84.02,7.82,0,No,1,2,Placed,Siemens,Graduate Engineer Trainee,6.32,On-Campus,February,Delhi NCR
ENG0177,Male,Electronics & Communication Engineering,2023,75.5,76.83,6.98,0,No,1,1,Placed,Google,QA Engineer,23.02,On-Campus,September,Delhi NCR
ENG0178,Female,Information Technology,2025,83.88,86.82,7.5,0,No,2,2,Placed,Capgemini,Business Analyst,6.49,On-Campus,October,Mumbai
ENG0179,Female,Computer Science & Engineering,2022,91.72,92.7,7.93,1,No,2,0,Not Placed,,,0,,,
ENG0180,Female,Computer Science & Engineering,2025,94.93,86.7,7.73,0,Yes,3,3,Placed,PhonePe,Data Analyst,14.31,On-Campus,September,Ahmedabad
ENG0181,Female,Mechanical Engineering,2024,88.24,90.01,8.03,1,Yes,0,3,Placed,Bosch,Mechanical Engineer,6.14,Pool Campus,January,Chennai
ENG0182,Female,Computer Science & Engineering,2025,84.3,77.56,7.9,0,Yes,0,0,Placed,Capgemini,Business Analyst,6.77,Pool Campus,March,Kolkata
ENG0183,Male,Computer Science & Engineering,2025,87.99,81.73,8.09,0,Yes,2,1,Placed,Atlassian,DevOps Engineer,25.22,Off-Campus,September,Noida
ENG0184,Male,Computer Science & Engineering,2021,76.67,85.39,7.48,0,No,2,1,Placed,Cognizant,Software Engineer,6.31,Off-Campus,November,Bengaluru
ENG0185,Female,Computer Science & Engineering,2023,80.77,87.4,7.24,0,No,0,0,Placed,Wipro,Data Analyst,5.91,Pool Campus,August,Coimbatore
ENG0186,Female,Civil Engineering,2022,75.41,71.61,6.09,0,No,1,0,Not Placed,,,0,,,
ENG0187,Male,Electronics & Communication Engineering,2025,72.01,68.87,6.52,0,No,2,2,Not Placed,,,0,,,
ENG0188,Male,Chemical Engineering,2024,84.67,78.98,7.89,1,Yes,2,3,Placed,Asian Paints,Graduate Engineer Trainee,8.61,Pool Campus,November,Mumbai
ENG0189,Female,Computer Science & Engineering,2022,83.48,87.74,7.46,1,No,1,0,Not Placed,,,0,,,
ENG0190,Male,Mechanical Engineering,2025,87.5,78.63,7.27,0,Yes,2,0,Placed,Bosch,Mechanical Engineer,10.1,On-Campus,January,Kolkata
ENG0191,Female,Electronics & Communication Engineering,2021,86.37,87.27,7.59,2,Yes,3,0,Not Placed,,,0,,,
ENG0192,Male,Electronics & Communication Engineering,2024,83.94,88.18,7.45,0,Yes,4,0,Placed,EXL,Business Analyst,10.53,On-Campus,October,Hyderabad
ENG0193,Male,Civil Engineering,2024,86.45,84.22,7.65,0,Yes,3,1,Placed,Shapoorji Pallonji,Graduate Engineer Trainee,8.35,Off-Campus,December,Delhi NCR
ENG0194,Female,Chemical Engineering,2021,81.66,88.31,8.28,0,Yes,2,4,Placed,Reliance Industries,Graduate Engineer Trainee,11.53,On-Campus,February,Bengaluru
ENG0195,Male,Civil Engineering,2024,85.3,81.85,8.11,0,Yes,5,4,Placed,L&T,Civil Engineer,8.65,Off-Campus,February,Bengaluru
ENG0196,Male,Computer Science & Engineering,2025,76.19,75.65,7.44,0,No,0,2,Placed,Capgemini,DevOps Engineer,6.06,On-Campus,February,Kolkata
